customer_id,email,segment,region,signup_date,monthly_spend,status,cancelled_date
CUST-1265,customer1265@example.com,Self-Serve,EU,2026-01-22,64.33,active,
CUST-1200,customer1200@example.com,SMB,US-East,2024-07-22,336.84,active,
CUST-1384,customer1384@example.com,Self-Serve,US-East,2025-09-02,34.95,active,
CUST-1176,customer1176@example.com,SMB,EU,2024-12-26,401.39,active,
CUST-1051,customer1051@example.com,Enterprise,US-East,2025-05-12,7867.91,active,
CUST-1268,customer1268@example.com,Self-Serve,EU,2025-11-19,61.86,active,
CUST-1017,customer1017@example.com,Enterprise,US-East,2024-08-26,4280.76,active,
CUST-1165,customer1165@example.com,SMB,APAC,2024-10-10,350.7,active,
CUST-1349,customer1349@example.com,Self-Serve,EU,2025-07-06,57.78,active,
CUST-1255,customer1255@example.com,Self-Serve,APAC,2025-12-20,16.41,active,
CUST-1385,customer1385@example.com,Self-Serve,US-West,2024-05-28,58.62,active,
CUST-1081,customer1081@example.com,Mid-Market,US-West,2024-10-30,1953.06,active,
CUST-1315,customer1315@example.com,Self-Serve,APAC,2025-10-03,88.51,active,
CUST-1254,customer1254@example.com,Self-Serve,EU,2024-08-25,73.63,active,
CUST-1161,customer1161@example.com,SMB,APAC,2025-03-29,432.23,active,
CUST-1237,customer1237@example.com,SMB,US-West,2025-06-30,209.72,active,
CUST-1260,customer1260@example.com,Self-Serve,EU,2024-06-18,63.55,active,
CUST-1000,customer1000@example.com,Enterprise,US-East,2025-10-16,6449.3,cancelled,2026-09-05
CUST-1099,customer1099@example.com,Mid-Market,EU,2025-07-10,1417.52,active,
CUST-1230,customer1230@example.com,SMB,US-East,2024-08-24,388.51,active,
CUST-1213,customer1213@example.com,SMB,US-East,2024-09-08,211.57,active,
CUST-1068,customer1068@example.com,Mid-Market,EU,2026-01-15,1700.89,active,
CUST-1002,customer1002@example.com,Enterprise,US-East,2024-04-14,5542.96,active,
CUST-1356,customer1356@example.com,Self-Serve,US-East,2025-02-08,33.8,active,
CUST-1225,customer1225@example.com,SMB,US-West,2025-02-18,222.48,active,
CUST-1023,customer1023@example.com,Enterprise,US-West,2025-10-17,6107.69,active,
CUST-1201,customer1201@example.com,SMB,US-West,2025-10-04,140.76,active,
CUST-1156,customer1156@example.com,SMB,US-East,2026-02-27,411.37,active,
CUST-1141,customer1141@example.com,SMB,EU,2025-11-13,260.96,cancelled,2026-09-15
CUST-1293,customer1293@example.com,Self-Serve,APAC,2024-05-28,27.15,active,
CUST-1138,customer1138@example.com,Mid-Market,US-West,2025-07-05,1046.33,active,
CUST-1256,customer1256@example.com,Self-Serve,EU,2024-08-27,80.9,active,
CUST-1323,customer1323@example.com,Self-Serve,US-West,2024-05-29,57.8,active,
CUST-1071,customer1071@example.com,Mid-Market,EU,2024-07-06,1193.94,active,
CUST-1330,customer1330@example.com,Self-Serve,US-West,2025-11-24,16.65,active,
CUST-1120,customer1120@example.com,Mid-Market,APAC,2024-06-30,537.18,active,
CUST-1025,customer1025@example.com,Enterprise,EU,2024-02-02,4406.99,active,
CUST-1100,customer1100@example.com,Mid-Market,US-East,2025-10-31,1501.79,active,
CUST-1369,customer1369@example.com,Self-Serve,US-West,2026-01-14,89.69,active,
CUST-1320,customer1320@example.com,Self-Serve,EU,2025-12-11,91.31,active,
CUST-1137,customer1137@example.com,Mid-Market,APAC,2025-12-26,502.54,active,
CUST-1093,customer1093@example.com,Mid-Market,APAC,2024-11-03,974.27,active,
CUST-1063,customer1063@example.com,Mid-Market,APAC,2026-01-10,864.5,cancelled,2026-09-20
CUST-1281,customer1281@example.com,Self-Serve,APAC,2025-05-25,78.4,active,
CUST-1094,customer1094@example.com,Mid-Market,US-East,2026-02-08,513.97,active,
CUST-1042,customer1042@example.com,Enterprise,EU,2026-01-09,7831.33,active,
CUST-1016,customer1016@example.com,Enterprise,EU,2024-08-21,7911.33,active,
CUST-1186,customer1186@example.com,SMB,APAC,2024-12-11,211.3,active,
CUST-1087,customer1087@example.com,Mid-Market,APAC,2024-08-28,679.83,active,
CUST-1084,customer1084@example.com,Mid-Market,US-West,2025-05-29,585.32,active,
CUST-1339,customer1339@example.com,Self-Serve,APAC,2026-02-02,84.96,active,
CUST-1006,customer1006@example.com,Enterprise,EU,2025-08-26,6856.58,active,
CUST-1208,customer1208@example.com,SMB,APAC,2025-01-05,382.92,active,
CUST-1105,customer1105@example.com,Mid-Market,EU,2024-07-27,1258.11,active,
CUST-1061,customer1061@example.com,Mid-Market,US-East,2024-02-02,1271.23,cancelled,2026-09-12
CUST-1360,customer1360@example.com,Self-Serve,APAC,2024-08-27,12.25,active,
CUST-1123,customer1123@example.com,Mid-Market,US-East,2025-12-19,1073.81,active,
CUST-1252,customer1252@example.com,Self-Serve,US-East,2024-06-09,46.77,active,
CUST-1343,customer1343@example.com,Self-Serve,US-West,2026-01-08,66.54,active,
CUST-1368,customer1368@example.com,Self-Serve,APAC,2025-01-14,62.86,active,
CUST-1098,customer1098@example.com,Mid-Market,EU,2025-01-13,736.62,active,
CUST-1250,customer1250@example.com,Self-Serve,EU,2024-07-31,69.44,cancelled,2026-09-08
CUST-1194,customer1194@example.com,SMB,APAC,2024-08-11,379.79,active,
CUST-1344,customer1344@example.com,Self-Serve,US-East,2025-10-04,37.8,active,
CUST-1095,customer1095@example.com,Mid-Market,US-East,2025-09-28,609.89,active,
CUST-1157,customer1157@example.com,SMB,US-West,2024-08-12,421.64,active,
CUST-1321,customer1321@example.com,Self-Serve,EU,2024-02-17,81.65,active,
CUST-1264,customer1264@example.com,Self-Serve,US-East,2025-09-04,90.05,active,
CUST-1235,customer1235@example.com,SMB,EU,2024-07-17,190.99,active,
CUST-1308,customer1308@example.com,Self-Serve,EU,2025-08-27,88.27,active,
CUST-1067,customer1067@example.com,Mid-Market,US-East,2024-02-25,590.92,active,
CUST-1224,customer1224@example.com,SMB,US-East,2024-01-18,217.69,active,
